Track name	Track link	User name	User link	Play count	Duration
Tinashe - Looking 4 It (Prod By Legacy)	https://soundcloud.com/sellyourmusiconline/tinashe-looking-4-it-prod-by-legacy?in=eliana-cogine/sets/musicas-relaxantes	SellYourMusic.Online	https://soundcloud.com/sellyourmusiconline	527K	4:05
Verse Simmonds - Situationships	https://soundcloud.com/empire/verse-simmonds-situationships?in=eliana-cogine/sets/musicas-relaxantes	EMPIRE	https://soundcloud.com/empire	622K	4:10
Situationships	https://soundcloud.com/mikhala-jene/situationships?in=eliana-cogine/sets/musicas-relaxantes	Mikhala Jené	https://soundcloud.com/mikhala-jene	818K	2:58
Chivalry Is Dead	https://soundcloud.com/trevorwesley/chivalry-is-dead?in=eliana-cogine/sets/musicas-relaxantes	Trevor Wesley	https://soundcloud.com/trevorwesley	9.25M	3:29
MAGIC! - No Way No	https://soundcloud.com/latium-entertainment/magic-no-way-no?in=eliana-cogine/sets/musicas-relaxantes	Latium Entertainment	https://soundcloud.com/latium-entertainment	1.3M	3:51
Bill Withers - Just The Two Of Us (Kevin Cohen Cover)(Doumëa Remix)	https://soundcloud.com/doumea/tomleorecords?in=eliana-cogine/sets/musicas-relaxantes	Doumëa	https://soundcloud.com/doumea	3.63M	3:10
George Ezra - Budapest (Official A2A RMX) Columbia out on iTunes!	https://soundcloud.com/a2amusic/george-ezra-budapest-a2a-remix?in=eliana-cogine/sets/musicas-relaxantes	A2A Official	https://soundcloud.com/a2amusic	2.98M	6:35
Major Lazer - Too Original (feat. Elliphant & Jovi Rockwell)	https://soundcloud.com/majorlazer/major-lazer-too-originalfeat-elliphant-jovi-rockwell?in=eliana-cogine/sets/musicas-relaxantes	Major Lazer	https://soundcloud.com/majorlazer	9.47M	3:27
Major Lazer - Be Together (feat. Wild Belle)	https://soundcloud.com/majorlazer/be-together-feat-wild-belle?in=eliana-cogine/sets/musicas-relaxantes	Major Lazer	https://soundcloud.com/majorlazer	31.8M	3:53
Major Lazer & DJ Snake - Lean On (feat. MØ)	https://soundcloud.com/majorlazer/major-lazer-dj-snake-lean-on-feat-mo?in=eliana-cogine/sets/musicas-relaxantes	Major Lazer	https://soundcloud.com/majorlazer	214M	2:56
✿ Missing Hito ✿ - Sleepy Clouds	https://soundcloud.com/whoisqueen/sleepy-clouds?in=eliana-cogine/sets/musicas-relaxantes	✿ Missing Hito ✿	https://soundcloud.com/whoisqueen	474K	1:25
Cha Cha	https://soundcloud.com/bigbabydram/02-cha-cha?in=eliana-cogine/sets/musicas-relaxantes	Big Baby DRAM	https://soundcloud.com/bigbabydram		4:10
[Exclusive Premiere] 3 Monkeyzz - Keep My Light	https://soundcloud.com/riptidemag/3-monkeyzz-keep-my-light?in=eliana-cogine/sets/musicas-relaxantes	Riptide Mag	https://soundcloud.com/riptidemag	428K	3:07
Alina Baraz & Galimatias - Fantasy (Pomo Remix)	https://soundcloud.com/pomobeats/alina-baraz-galimatias-fantasy-pomo-remix-1?in=eliana-cogine/sets/musicas-relaxantes	Pomo	https://soundcloud.com/pomobeats	1.72M	3:33
Gabriel & Castellon - Shut Your Eyes (Sam Feldt Remix) [Out Now]	https://soundcloud.com/spinninrecords/gabriel-castellon-shut-your-eyes-sam-feldt-remix-available-may-18?in=eliana-cogine/sets/musicas-relaxantes	Spinnin' Records	https://soundcloud.com/spinninrecords	705K	4:12
Summertime Sadness - (Nicolas Haelg & Megan Davies Cover)	https://soundcloud.com/nicolashaelg/summertime-sadness-nicolas-haelg-meagan-davis?in=eliana-cogine/sets/musicas-relaxantes	Nicolas Haelg	https://soundcloud.com/nicolashaelg	2.72M	4:18
Jason Derulo feat. Jennifer Lopez & Matoma - Try Me	https://soundcloud.com/matoma-official/try-me?in=eliana-cogine/sets/musicas-relaxantes	Matoma	https://soundcloud.com/matoma-official	8.5M	3:20
Weazley & Sterkøl Ft. Coline - With You (Original Mix)	https://soundcloud.com/sterk-l/weazley-sterkol-ft-coline-with-you-original-mix?in=eliana-cogine/sets/musicas-relaxantes	Sterkøl	https://soundcloud.com/sterk-l	4.97M	3:45
Wale - The Need To Know (Feat. SZA) Prod. JGramm	https://soundcloud.com/jgrammbeats/the-need-to-know-feat-sza?in=eliana-cogine/sets/musicas-relaxantes	J Gramm	https://soundcloud.com/jgrammbeats	19.8M	3:36
Anywhere- Frank Ocean	https://soundcloud.com/justrell_music/anywhere?in=eliana-cogine/sets/musicas-relaxantes	JustRell_Music	https://soundcloud.com/justrell_music	279K	2:10
Miguel - Coffee (Acoustic Remix Cover)	https://soundcloud.com/moeknowsfasho/miguel-coffee-acoustic-remix-cover?in=eliana-cogine/sets/musicas-relaxantes	iraya	https://soundcloud.com/moeknowsfasho	431K	2:54
Running Out	https://soundcloud.com/matoma-official/running-out?in=eliana-cogine/sets/musicas-relaxantes	Matoma	https://soundcloud.com/matoma-official	6.83M	None
